title,link
MS.Windows.CLFS.Driver.CVE-2023-38144.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/53589
MS.Windows.DHCP.Server.ClassDef.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/53594
MS.Windows.Kernel.CVE-2023-38142.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/53590
MS.Windows.Streaming.Service.Proxy.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/53591
MS.Windows.TCP.IP.CVE-2023-38160.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/53593
Autodesk.Backburner.Manager.telnet.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53611
HPE.System.Management.Homepage.SetSMHData.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53610
IA.Ignition.AbstractGatewayFunction.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53609
mySCADA.myPRO.CVE-2023-28716.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53603
XWiki.SkinsCode.XWikiSkinsSheet.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53599
Dark.IoT.Botnet,https://www.fortiguard.com/encyclopedia/ips/53476
Delta.IA.DIAScreen.DPA.File.Parsing.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53596
Linux.Kernel.ksmbd.Compounded.Request.Handling.DoS,https://www.fortiguard.com/encyclopedia/ips/53586
MS.ASP.NET.CVE-2023-36899.Privilege.Escalation,https://www.fortiguard.com/encyclopedia/ips/53598
NETGEAR.ProSafe.NMS300.CVE-2023-38098.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/53584
RARLAB.WinRAR.CVE-2023-38831.Arbitrary.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53587
D-Link.D-View.TftpReceiveFileHandler.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53581
GitLab.Community.and.Enterprise.Edition.CVE-2023-0921.DoS,https://www.fortiguard.com/encyclopedia/ips/53510
Greenshot.NET.CVE-2023-34634.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53573
IA.Ignition.ParameterVersion.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53577
Ivanti.Avalanche.WLAvalancheService.exe.Stack.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53576
Mozilla.Firefox.GatherAsyncParentCompletions.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53568
Redis.getKeysUsingKeySpecs.Heap.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53569
Zoom.Client.ZoomOpener.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53565
HPE.Intelligent.Management.Center.fileContent.Path.RCE,https://www.fortiguard.com/encyclopedia/ips/53561
Softing.edgeAggregator.RestoreConfiguration.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53562
D-Link.DIR-2640.HNAP.PrefixLen.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53558
Google.Chrome.ServiceWorkerVersion.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53547
Ivanti.Avalanche.RemoteControlServer.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/53550
RA.ThinManager.CVE-2023-2914.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53554
RA.ThinManager.CVE-2023-2915.Directory.Traveral,https://www.fortiguard.com/encyclopedia/ips/53552
RA.ThinManager.CVE-2023-2917.Directory.Traveral,https://www.fortiguard.com/encyclopedia/ips/53551
Siemens.Tecnomatix.PS.SPP.File.Parsing.Bufffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53555
Google.Chrome.WebXR.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53543
Intelliants.Subrion.CMS.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/53541
ManageEngine.OpManager.eventType.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53539
Nextcloud.Calendar.remote.php.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53545
SolarWinds.NPM.CredentialInitializer.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53540
Adobe.ColdFusion.IPFilterUtils.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53534
Cisco.SPA508G.IP.Deskphone.VxWorks.DHCP.Heap.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53536
HP.LaserJetPro.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53516
Zyxel.Armor.Z1.and.Z2.ozkerz.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53537
Zyxel.Armor.Z1.and.Z2.webdav.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53538
Broadcom.CA.eHealth.licsys.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53533
Ignite.Realtime.Openfire.CVE-2023-32315.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53451
MiniUPnP.Project.MiniuPnPd.SOAP.nftables.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53530
SHINJI.APP.Katana.Botnet,https://www.fortiguard.com/encyclopedia/ips/53477
XWiki.org.XWiki.TipsPanel.XWiki.UIExtensionClass.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53532
Adobe.ColdFusion.AS.CVE-2023-26361.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53520
HPE.IMC.TopoServlet.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53525
Linux.Kernel.ksmbd.Module.smb2_write.Heap.Out.Of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53528
SonicWall.GMS.and.Analytics.detectInjection.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53526
Adobe.Acrobat.Reader.CVE-2023-29299.Installer.DoS,https://www.fortiguard.com/encyclopedia/ips/53502
Adobe.Acrobat.Reader.CVE-2023-29303.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53503
Adobe.Acrobat.Reader.CVE-2023-29320.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53504
Adobe.Acrobat.Reader.CVE-2023-38222.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53505
Adobe.Acrobat.Reader.CVE-2023-38223.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53506
Adobe.Acrobat.Reader.CVE-2023-38224.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53497
Adobe.Acrobat.Reader.CVE-2023-38225.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53498
Adobe.Acrobat.Reader.CVE-2023-38226.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53499
Adobe.Acrobat.Reader.CVE-2023-38227.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53500
Adobe.Acrobat.Reader.CVE-2023-38228.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53501
Adobe.Acrobat.Reader.CVE-2023-38229.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53482
Adobe.Acrobat.Reader.CVE-2023-38230.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53483
Adobe.Acrobat.Reader.CVE-2023-38231.Out.of.Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/53484
Adobe.Acrobat.Reader.CVE-2023-38232.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53485
Adobe.Acrobat.Reader.CVE-2023-38233.Out.of.Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/53486
Adobe.Acrobat.Reader.CVE-2023-38234.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53490
Adobe.Acrobat.Reader.CVE-2023-38235.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53492
Adobe.Acrobat.Reader.CVE-2023-38236.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53494
Adobe.Acrobat.Reader.CVE-2023-38237.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53495
Adobe.Acrobat.Reader.CVE-2023-38238.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53496
Adobe.Acrobat.Reader.CVE-2023-38239.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53487
Adobe.Acrobat.Reader.CVE-2023-38240.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53488
Adobe.Acrobat.Reader.CVE-2023-38242.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/53491
